A B	AB
压裂液	破砕液
厌氧	嫌気
原	原
原位	原位置
原位杂交	原位置ハイブリッド	原位置ハイブリッド形成
原发性	原発
原因	原因
原始	オリジナルだ	原始
原始指纹	オリジナルだフィンガー	オリジナルだフィンガープリント
原始的	オリジナルだの
原始通量	オリジナルだフラックス
原始通量密度	オリジナルだフラックス密度
原始通量密度波形	オリジナルだフラックス密度波形
原始通量密度波形扭曲	オリジナルだフラックス密度波形歪
原料	原料
原材料	原材料
原材料比	原材料比
原理	原理
厨房	炊事場
去除	取り除く	除去	除去する
去除性能	除去する性能
县	県
参与	関与
参与度	関与度
参数	パラメータ
参数估计	パラメータ推定
参照	参照
参照结果	参照結果
及	及ぶ
双	バイナリー
双基因	バイナリー遺伝子
双层双头	従って二重シュル
双层模型	二重シュルモデル
双层流动	二重シュル
双层相关模型	従って二重シュルモデル
双方	両方	双方
双重	二重
双重标记	二重標識
反向传播	逆だ伝搬
反向传播算法	逆だ伝搬アルゴリズム
反复	反復
反复基因杆菌属	クター属反復遺伝子
反复杆菌属	クター属反復	ロバクター属反復
反复检测	反復検出
反对态度	反対だ態度
反射	反射
反应	反応
反应次	反応次
反应速度	反応速度
反应速度参数	反応速度パラメータ
反式	トランス
反映	反映	反映する
反映到	反映する
反馈纹理	くフィード
发动机	エンジン
发展	なる発展	発展	発展する
发展各种系统结构	発展する各種構造系
发展各种结构	発展する各種構造
发泡	発泡
发泡过程	発泡過程
发烟	発煙
发烟仿真模型	発煙シミュレーションモデル
发烟模拟	発煙シミュレーション
发烟的	する発煙
发烟的仿真模型	する発煙シミュレーションモデル
发热	発熱
发现	みる	わかつ	発見	発見さ	発見できる
发生	おいる発生	発生	発生さ	発生する
发生周期	発生周期
发生年龄	発生する年齢
发生的	発生する
发生的SO	おいる発生するSO	発生するSO
发生骨折	発生する骨折
发电	発電
发电厂	発電所
发电机	発電機
发电机设计	発電機設計
发病	発病	発病する	発症
发病率	有病率
发病部位	発病部位
发育	発育
发达	発達	発達する
发达的事	発達する事
发酵	発酵
发酵过程	発酵過程
取	取る
受	浴びる
受力性能	力性能
变	なり	変だ
变分	変分
变分包含	変分内包
变动	変動
变动法则	変動法則
变化	バリエーション	変化	変化する
变化传送	変化する伝送
变化传送速度	変化する伝送速度
变化形状	変化形状
变化形状设计	変化形状設計
变化规律	変化規則
变化随机延迟	変化ランダム遅延
变态	変態
变换	変換
变更	変更	変更さ
变流	変だ流
变流机	変だ流機
变种	変種
变量	一変量	変数
变量最优	変数最適だ
变量模式	変数モード
叙述	述べる
口服	経口
口服给药	経口投与
古典	古典
另	もう
另一方	もう片方
另外	また
另外作者	また著者
可	可
可以	できる	よく同調
可以介绍	する紹介できる
可以使用	使用できる
可变	可変だ
可变块	可変だブロック
可变块尺寸	可変だブロックサイズ
可干扰	可干渉
可恢复	回復できる
可持续	持続可能だ
可持续开发	持続可能だ開発
可能	可能だ
可能安全	可能だ安全だ
可能开发	可能だ開発
可能的	よる可能だ
可能的安全	よる可能だ安全だ
可能的安全问题	よる可能だ安全だ問題	可能だ安全だ問題
可逆	可逆
台	台
叶	葉
叶提取物	葉エキス
叶类型	葉タイプ
叶类型断面	葉タイプ断面
叶类型断面几何	葉タイプ断面幾何
各个	個々	各々
各向异性	異方性
各向异性介质	異方性媒質
各种	する各種	各種	様々だ種類	種々だの
各种中央	種々だ中央
各种中央周波	種々だ中央周波
各种供电	種々だ電力供給
各种入射	種々だ入射
各种入射角	種々だ入射角
各种入射角条件	種々だ入射角条件
各种发展	発展する各種
各种各样	様々だ
各种各样的	様々だの
各种地区	様々だ地区
各种山岳	種々だ山岳
各种山岳大概	概して種々だ山岳
各种所有	種々だ所有
各种所有权	種々だ所有権
各种技术	様々だ技術
各种模糊	種々だあいまいだ
各种模糊凹陷	種々だあいまいだノッチ
各种模糊触点位置	種々だあいまいだノッチ位置
各种油	種々だ油
各种油样	種々だ油試料
各种流体	様々だ流体
各种电力	種々だ電力
各种电力供给选择	種々だ電力供給選択
各种电器	様々だ電器
各种结构	する各種構造	各種構造
各种结构系统	する各種構造系	各種構造系
各种药物	様々だ薬物
各种药物抵抗	様々だ薬物抵抗
合	合
合并	合併
合并疼痛	合併痛む
合并轻微	合併軽微だ
合成	合成
合成的	合成する
合抛物面	合放物面
合抛物面聚光	合放物面集光
合抛物面聚光器	合放物面集光器
合抛物面集	合放物面集
合流	合流
合理	合理
合肥	合肥
合金	合金
合金表面	合金表面
同一	同一だ
同一个	それぞれ同じだ
同一个基因	それぞれ同じだ遺伝子
同一患者	同一だ患者
同时	ともに	同時	同時に
同时双方	同時に両方
同时增加	ともに増加する
同样	同様だ	同様だの
同样的方法	同様だ方法
同步	同期	同調
同步发电	同期発電
同步发电机	同期発電機
同步的	同調する
同源性	ホモロジー
后体腔	する体腔
后体腔细胞培养	する体腔細胞培養
后援	後押し	後押しする
后方	後方
后方泵	後方ポンプ
后方泵光纤	後方ポンプファイバ
后方泵光纤扩增	後方ポンプファイバ増幅
后方泵光纤放大器	後方ポンプファイバ増幅器
后进	後進
向	向かう
否	否
否定	否定	否定する
含	含む層
含自然杀伤	含むナチュラルだキラー
含量	含量
启动	プライ	稼動	稼動する
启动的	おけるプライ
吸光	吸光
吸光分光	吸光分光
吸光分光分析	吸光分光分析
吸收	より吸収	吸収	吸収さ
吸收光谱	吸収スペクトル
吸收光谱法	吸光分光分析法
吸收分	吸光分
吸收特性	吸収特性
吸收的	より吸収さ
吸附	吸着
吸附质	吸着質
吸附质树脂	吸着質樹脂
吸附质树脂剂	吸着質樹脂剤
呈现	呈す
周	周
周期	周期
周波	周波
周边	周辺
周边电路	周辺回路
周面	周面
周面摩擦	周面摩擦
呼叫	呼ぶ
呼吸	呼吸
呼吸循环	呼吸循環
呼吸循环功能	呼吸循環機能
咳嗽	咳
品质	品質
响应速度	応答速度
唯一	唯一
啤酒	ビール
啤酒发酵	ビール発酵
啤酒酵母	ビール酵母
喷出	噴出る
喷气	ジェット
器	器
器中央	器中央
器中央部	器中央部
器负荷	器負荷
噪声	ノイズ
噪声去除	雑音除去
噪声样本	ノイズサンプル
噪声比率	ノイズ比率
噪声比率损失	ノイズ比率損失
囊肿	嚢胞
回声	エコ
回归	回帰
回收	回収
回路	ループ
回转仪	ジャイロスコープ
回顾性研究	遡及研究
因	因
因子	因子
因感染	因感染
因此双	従って二重
因素	する因子	要因
因素影响	因子影響
园	園
困难	困難だ
围产期	周産期
围产期母子	周産期母子
固体	固体
固体成分	固体成分
固定	固定	定	定着
固定贯通	定常貫通
固定贯通过程	定常貫通過程
固定费用	固定料金
固定费用许可	固定料金ライセンス
固定速率	定常レート
固有原因	固有だ原因
固有特性	固有だ特性
固有界限	固有だ限界
固有的	固有だの
固相	固相
固相法	固相法
国内外	国内外
国家	国	国立
国家科学	国立科学
国家科学基金会	国立科学財団
国际	インターナショナルだ
国际期刊	インターナショナルだジャーナル
图	図
图像	イメージ	画像
图像障碍	イメージ障害
图像障碍自	イメージ障害自己
图像障碍自我评价	イメージ障害自己評価
图像障碍自评量表	イメージ障害自己評価スケール
图表	グラフ	チャート
图表利用	チャート利用
圆形	円形
圆形齿轮	円形ギア
圆柱	円柱
圆锥	円錐
圆锥补充	円錐補完
圆锥补充线性	円錐補完線形
圈闭	トラップ
土地	ランド	土地
土地利用	土地利用
土地生态	土地生態
土地生态区分	土地生態区分
土地生态规划	土地生態計画
土地覆盖	土地被覆
土壤	おける土地	土壌
土壤侵蚀	土壌侵食	土壌浸食
土壤侵蚀变量	土壌浸食変数
土壤侵蚀状况	土壌浸食状況
土壤侵蚀过程	土壌侵食プロセス	土壌浸食プロセス
土壤生态	おける土地生態
土壤生态规划	おける土地生態計画
在	おいる	おいるウサギ
在AA	AA
在AA基因	AA遺伝子
在AC	AC
在AC发电	AC発電
在AC发电机	AC発電機
在AC发电机设计	AC発電機設計
在AC模型	ACモデル
在AC电力	AC電力
在AC电力基础	AC電力ベース
在AC电力流动	AC電力フロー
在AC电力流程库	AC電力フローベース
在ADS	ADS
在AES	AES
在AG	AG
在ALT	ALT
在BOD	BOD
在Bi	Bi
在CEA	CEA
在DAD	DAD
在DC	DC
在DC功率流	DC電力フロー
在DC电力	DC電力
在DC电力流程库	DC電力フローベース
在DF	DF
在DF的	するDF
在FE	FE
在FPGA	FPGA
在FT	FT
在GDP	GDP
在GDP单位	GDP単位
在GP	GP
在GP带	GPゾーン
在HA	HA
在HCl	HCl
在HSP	HSP
在IC	IC
在ICP	ICP
在IEEE	IEEE
在KA	KA
在KB	KB
在LC	LC
在LM	LM
在LP	LP
在LS	LS
在MBR	MBR
在MH	MH
在MP	MP
在NS	NS
在NaOH	NaOH
在NaOH使用	NaOH使用
在OR	OR
在PA	PA
在PF	PF
在PF的	おけるPF
在PI	PI
在PI双	PI二重
在PI双标记	PI二重標識
在RP	RP
在SAP	SAP
在SBR	SBR
在SEM	SEM
在SS	SS
在SS的	おけるSS
在Si	Si
在UML	UML
在UML状态	UMLステート
在UML状态图	UMLステートチャート
在VAS	VAS
在XML	XML
在XML文本	XMLテキスト
在XML文本检索	XMLテキスト検索
在XRD	XRD
在下	する下
在中心	おいる中心
在冷却	おける冷却
在冷却流	おける冷却流
在冷却流路	おける冷却流路
在基础实验	おけるプライマリ実験
在多巴胺	おいるドーパミン
在时效	おける時効
在杰出	おいる傑出	おいる傑出する
在杰出性能	おいる傑出する性能
在耐用品	する耐久財
在证明	おいる立証
在调查	おいる調べる
在风	おいる風
在风输出	おいる風出力
在风输出产业	おいる風出力産業
在验证了	おいる立証する
地	地
地产品	地産品
地产品系统	地産品システム
地区	地区	地域
地区产物	地域産物
地区居民	地域住民
地形	地形
地形要素	地形要素
地方	地場	地方
地方旅游开发	地方観光開発
地方观光	地方観光
地球	地球
地球物理	地球物理
地球物理勘探	地球物理探査
地球规模	地球規模
场传播	場伝播
场所	場
场特性	場特性
坏死	壊死
坏死因子	壊死因子
块	ブロック
块分布	ブロック分布
块尺寸	ブロックサイズ
块携带	ブロックキャリー
块携带预读	ブロックキャリー先読む
坦桑尼亚	タンザニア
坪	坪
垂直	垂直だ	鉛直だ
垂直灵敏度	垂直だ感度
垂直积分	鉛直だ積分
垂直积分液	鉛直だ積分液
垂直积分液态水	鉛直だ積分液水
型特异性	型特異だ
型特异性引物	型特異だプライマー
埃里克	エリック
城	城
城市	城市	都市
城市环状	都市環状
城市环状总线	都市環状バス
培养	インキュベートする	培養	培養する
培养体腔	培養する体腔
培养体腔细胞	培養する体腔細胞
培养体腔细胞培养	培養する体腔細胞培養
培养体腔细胞培养条件	培養する体腔細胞培養条件
培养基	培地
培养处理	インキュベートする処理
培养处理细胞	インキュベートする処理細胞
培养条件	培養条件
基	酸基
基于	基づく
基于一般	基づく一般
基于使用的粒子	基づくパーティクルスウォーム
基于使用粒子群算法	基づくパーティクルスウォーム最適だ
基于光线跟踪	基づくレイトレーシング
基于光线跟踪算法	基づくレイトレーシングアルゴリズム
基于创新	基づく革新
基于功率流	電力フローベース
基于在AC电力输电	AC電力ベース送電
基于在AC电力输电权利	AC電力ベース送電権利
基于壁面	基づく壁面
基于壁面函数	基づく壁面関数
基于失真	基づくゆがむ
基于实时	基づくリアルタイム
基于应用的AC电力输电权利	AC電力ベース送電権利応用
基于扩增自然释放	基づく増幅自然放出
基于搜索的AC电力	探索するAC電力ベース
基于搜索的AC电力输电	探索するAC電力ベース送電
基于搜索的AC电力输电权利	探索するAC電力ベース送電権利
基于搜索的AC电力输电权利应用	探索するAC電力ベース送電権利応用
基于新方法	基づく新規だ方法
基于新的	基づく新規だ
基于最优	基づく最適だ
基于最优线性	基づく最適だ線形
基于最优线性滤波器	基づく最適だ線形フィルタ
基于权利的AC电力输电应用	するAC電力ベース送電権利応用
基于流	フローベース
基于电力	基づく電力
基于电力切换	基づく電力切換
基于电力切换配电	基づく電力切換配電
基于电力切换配电系数	基づく電力切換配電係数
基于电力输电权利应用	電力ベース送電権利応用
基于的AC电力输电权利	するAC電力ベース送電権利
基于相关	基づく相関
基于相关积	基づく相関積
基于系统	基づく系統	基づく系統樹
基于系统树分析	基づく系統樹分析
基于观察员	オブザーバーベース
基于软件	基づくソフト
基于软件阴影	基づくソフト陰影
基于软件阴影算法	基づくソフト陰影アルゴリズム
基于输电权利	ベース送電権利
基于输电权利应用	ベース送電権利応用
基于输电的AC电力	するAC電力ベース送電
基于颗粒	基づくパーティクル
基于高速	基づく高速だ
基因	遺伝子
基因分型	遺伝子タイピング
基因分型结果	遺伝子タイピング結果
基因外	遺伝子外
基因外复发	遺伝子外再発
基因检测	遺伝子検出
基因源	遺伝子源
基因组合	遺伝子コンビネーション
基因芯片	遺伝子チップ
基因表达	遺伝子発現
基因表达剖面	遺伝子発現プロフィール
基因频率	遺伝子頻度
基因频率分布	遺伝子頻度分布
基本	基本
基础	もと	プライマリ	ベース	基	基く	基づく	基盤	基礎
基础下部	基づく下部
基础下部结构	基づく下部構造
基础前馈	基くフィードフォワード
基础前馈神经	基くフィードフォワード神経
基础前馈神经回路	基くフィードフォワード神経回路
基础前馈神经网络	基くフィードフォワード神経回路網
基础因素	基盤因子
基础开发	基づく開発さ
基础扩增	基づく増幅
基础扩增自然	基づく増幅自然
基础新	基づく新しい
基础输电	ベース送電
基础馈电	基くフィード
基质	基質
基质溶液	質溶液
基质细胞	基質細胞
堤防	堤防
填充	フィル	充填
填充物	充填物
增加	ともに増加	増える	増加	増加さ	増加する	増加できる
增加渔民	増加する漁民
增大	伴う増大	伴う増大する	増大	増大さ	増大する
增幅	増幅する
壁	壁
壁函数	壁関数
壁面	壁面
壁面函数	壁面関数
壁面函数条件	壁面関数条件
壁面函数边界	壁関数境界	壁面関数境界
壁面函数边界条件	壁関数境界条件	壁面関数境界条件
声发射	AE
声发射模式	モードAE
声源	音源
声源位置	音源位置
声源定位	音源位置決める
声辐射	音響放射
声辐射信号	音響放射信号
处方	処方
处方设计	処方設計
处理	する処理	する処理する	より処理	より処理さ	処理	処理さ	処理する	扱う
处理器	プロセッサ
处理性能	処理パフォーマンス
处理水果	処理果物
处理系统	処理システム
处理细胞	する処理細胞	処理細胞
处理能力	処理能力
复制	よって複製	複製	複製する
复制的	よって複製する
复印	複写	複写する
复原	復元	復元する
复发	再発
复合	ある複合	複合
复合峰	複合ピーク
复合材料	複合材料
复合波	複合波
复合波结构	複合波構造
复合系统	複合システム
复合系统现象	複合システム現象
复合结构	複合構造
复合绝缘	ある複合絶縁	複合絶縁
复合绝缘物	ある複合絶縁物	複合絶縁物
复合诱饵	複合デコイ
复数	複数
复杂	用いる複雑だ	複雑だ
复杂体	複雑だボディ
复杂共同	複雑だ共同
复杂共同设计最优	複雑だ共同設計最適だ
复杂协同设计	複雑だ共同設計
复杂对象	複雑だ対象	複雑だ対象物
复杂度	複雑だ度
复杂的	する複雑だ
复杂系数	用いる複雑だ係数	複雑だ係数
复杂系统	複雑だ系	複雑だシステム
复杂背景	複雑だ背景
外	外
外伤	外傷
外伤史	外傷史
外吸收	外吸収
外吸收光谱	外吸収スペクトル
外国	外国
外复发	外再発
外差	ヘテロダイン
外差检波	ヘテロダイン検波
外来	外来
外源基因	外来遺伝子
外源基因源	外来遺伝子源
外科	外科
外科手术	外科手術
外过滤膜浓缩	外ろ過膜濃縮
外过滤膜浓缩技术	外ろ過膜濃縮技術
外部	外部
外部标准	外部標準
外部标准法	外部標準法
多	おけるマルチ	する多	マルチ	多	多い	多い報告さ
多义性	多義性
多价疫苗	価ワクチン
多体系	多体系
多光谱	多重スペクトル
多发	多発
多发性肋骨	多発肋骨
多发性肋骨骨折	多発肋骨骨折
多子带	おけるマルチサブバンド	マルチサブバンド	多重サブバンド
多子带提高	マルチサブバンド向上
多子带提高因子	マルチサブバンド向上因子
多子带时空	マルチサブバンド時空
多峰值	マルチピーク
多峰拟合	マルチピークフィッティング
多峰拟合法	マルチピークフィッティング法
多巴胺	ドーパミン
多巴胺含量	ドーパミン含量
多报告	多い報告
多振动	多い振動
多数	多数
多普勒	ドップラー
多样	多様だ
多样性	多様だ
多水平	多水準
多流体模型	多重流体モデル
多流体理论	多重流体理論
多流体高炉	多重流体高炉
多流体高炉模型	多重流体高炉モデル
多消费	多消費
多种景观	多様だ景観
多种景观指标	多様だ景観指標
多通道	マルチチャネル
多通道雷达	マルチチャネルレーダ
多通道雷达带宽	帯域マルチチャネルレーダ
多通道雷达系统	マルチチャネルレーダシステム
多重	多重
多重子带组	多重サブバンド組
多重子带重组	多重サブバンド組換える
多重流体	多重流体
多重高斯	多重ガウス
多重高斯函数	多重ガウス関数
多重高斯函数峰	多重ガウス関数ピーク
多阶段	多段階
多阶段识别	多段階識別
多阶段识别方法	多段階識別方法
大	より大きい	大いに	大きる	大きい
大众	大衆
大依赖	大きい依存	大きい依存する
大动态	より大きいダイナミックだ	大きいダイナミックだ
大动态范围	より大きいダイナミックだレンジ	大きいダイナミックだレンジ
大半	大半
大多	おいる多い
大大改善	大いに改善	大いに改善さ
大大改善了	大いに改善する
大学	大学
大学附属	大学付属
大学附属盛京	大学付属盛京
大学附属盛京医院	大学付属盛京病院
大楼	ビル
大楼电阻	ビル抵抗
大概	概して
大气	大気
大气校正	大気補正
大社会	大きい社会
大虫	大きい虫
大虫体	大きい虫体
大豆	大豆
大豆异黄酮	大豆イソフラボン
大量	多量だの	大量だ	大量だの
大量Ca离子	多量だCaイオン
大量关注	多量だ注目
大量挥发	大量だ揮発
大量挥发物	大量だ揮発物
大量的	おける大量だ
大量资源	大量だ資源
大量钙	多量だCa
大量风力	大量だ風力
大量风力能源	大量だ風力エネルギー
大铁	大きいFe
大鼠	よってラット	ラット
大鼠模型	よってラットモデル	ラットモデル
天冬氨酸	アスパラギン酸
天冬氨酸基	アスパラギン酸基
天冬氨酸转移	アスパラギン酸基転移
天冬氨酸转移酶	アスパラギン酸基転移酵素
天冬酰胺	アスパラギン
天气	天気
天然气储层	ガス貯留層
天电	空電
太阳	太陽
太阳光	太陽光
太阳光漏斗	太陽光漏斗
太阳能聚光	太陽光集光
太阳能集	太陽光集
太阳能集中器	太陽光集光器
头	頭
头痛	頭痛
头皮	頭皮
头部	頭部
头高	頭高
奇异	特異だ
女性	女性
好	好例
如果	なら	もし
如果合并	もし合併
如果并发症	もし合併症
妊娠	妊娠
妥当	妥当だ
妥当改革	妥当だ改革
妥当改革计划	妥当だ改革計画
姿势	姿勢
威胁	脅す
威胁程度	脅す程度
媒介	媒介
媒体	媒体
子	子
子宫	子宮
子宫内膜	子宮内膜
子宫内膜上皮	子宮内膜上皮
子宫内膜上皮细胞	子宮内膜上皮細胞
子宫内膜异位症	子宮内膜症
子宫内膜异位症患者	子宮内膜症患者
子宫内膜细胞	子宮内膜細胞
子宫内膜细胞凋亡	子宮内膜細胞アポトーシス
子带	サブバンド
子带上升	サブバンド向上
子带提高因子	サブバンド向上因子
子带时空	サブバンド時空
子带组	サブバンド組
子带重组	サブバンド組換える
子弹	弾丸
子模拟	子シミュレーション
子点	子ドット
子系统	サブシステム
子计算	子コンピューティング
子计算机	子コンピュータ
孔径	細孔径
孔径分布	細孔径分布
孔隙	細孔
孕妇	妊婦
字	字
存储区域	貯蔵エリア
存储器	メモリー
存在	ほとんど存在	ほとんど存在する	存在	存在する
孢子	胞子
学问	学問
学问领域	学問領域
孵化	インキュベーション	インキュベート
它前馈神经	くフィードフォワード神経
守护	守る
安全	安全だ
安全管理	安全だ管理
安全问题	安全だ問題
安徽	安徽
安息	安息
安息香	安息香
安慰剂	プラセボ
安慰剂溶液	プラセボ溶液
完全	よって完全だ	全く	完全だ
完全一致	ぴったり一致	ぴったり一致する
完全关系	全く関係	全く関係する
完全去除	よって完全だ除去	よって完全だ除去さ	完全だ除去	完全だ除去さ
完全惩治	完全だ退治する
完全没有	全くない
完全防治	完全だ退治
完整	インタクト
完美	完璧だ
完美风景	完璧だ風景
完美风景指标	完璧だ風景指標
定位	位置決める
定位精度	位置決める精度
定制	カスタム
定性	定性的
定期	定期
定量	定量
定量下限	定量下限
定量法	定量法
定量界限	定量限界
实情	実情
实效	実効
实施	実施	実施さ	実施する
实时	リアルタイム
实测	実測
实测值	実測値
实现	実現	実現さ	実現する	実現可能だ
实现区域	実現可能だ領域
实现手续	実現手続き
实现方案	実現する案
实用	実用
实行	実行する
实证	実証
实际	より実用	実利	実際
实际收入	実効所得
实际特性	実際特性
实验	する実験	実験
实验室	する実験室	実験室	実験室スケール
实验室的	する実験室スケール
实验数据	する実験データ	実験データ
实验数据曲线	する実験データ曲線	実験データ曲線
实验曲线	実験曲線
实验组	実験群
实验结果	する実験結果	実験結果
审查	レビュー
室	室
室内尺度	室スケール
室外	屋外
室温	室温
室温冷却	室温冷却
家庭调查	家族調査
家族	家族
容易	容易だ
容积	容積
容积浓度	容積濃度
容量	容量
宽带	広帯域
宽带多	広帯域マルチ
宽带多通道	広帯域マルチチャネル
宽带多通道雷达	広帯域マルチチャネルレーダ
宽带多通道雷达系统	広帯域マルチチャネルレーダシステム
密度	密度
密度波形	密度波形
密度波形扭曲	密度波形歪
密度特性	密度特性
密度聚乙烯	密度ポリエチレン
密度集成	密度集積
密闭	密閉
密闭培养	密閉培養
密集	密集
密集点	密集する点
密集的	密集する
寒冷	寒冷だ
寡头垄断	寡占
寡头垄断市场	寡占市場
对	さが	及ぼすCu	対	対する
对于	対す
对于ANN	ANN
对于LDPE	LDPE
对于LDPE膜	LDPE膜
对于LDPE膜表面	LDPE膜表面
对于LDPE膜表面微成形	ミクロ成形するLDPE膜表面
对于LDPE膜表面成形	成形するLDPE膜表面
对于有	対す有する
对动力	対する動力
对双	対するバイナリー
对双基因	対するバイナリー遺伝子
对困难	対する困難だ
对干扰	対干渉
对干扰加	対干渉プラス
对干扰加噪声	対干渉プラスノイズ
对干扰加噪声比率	対干渉プラスノイズ比率
对干扰加噪声比率损失	対干渉プラスノイズ比率損失
对应	対応	対応する	応じる
对应实验	対応する実験
对应序列	応じるシーケンス
对应的价格	対応する価格
对应的接口	対応するIF
对应非常	対応する非常だ
对应非常能量	対応する非常だエネルギー
对应非常能量汇集	対応する非常だエネルギー集約
对最重要的意义	及ぼす最も重要だ意味
对比	コントラスト	対比	対比する
对比平均	コントラスト平均
对比率	対する比率
对比观察氟比洛芬酯	フルルビプロフェン
对波形	対す波形
对波形歪斜	対す波形歪む
对流	対流
对潜力	対する潜在力
对潜在	対する潜在
对烟	対する煙
对烧结温度	及ぼす焼結温度
对照	対照
对照区	対照区
对照组	よりコントロール	対照グループ	対照群
对照细胞	対照細胞
对物理	対する物理
对甲酸	及ぼすぎ酸
对甲酸乙酯	及ぼすぎ酸エチル
对电	対する優れる電気
对电催化	対する優れる電気触媒
对电催化活性	対する優れる電気触媒活性
对疫苗	たいするワクチン
对破碎	対する破砕
对破碎液	対する破砕液
对立	対立
对立基因	対立遺伝子
对策	対策
对经济	およぼす経済
对膨胀石墨	及ぼす膨張黒鉛
对象	するオブジェクト	オブジェクト	対象
对象区域	対象域
对象物	対象物
寻求	求める
导入	導入	導入する
导入研究	導入する研究	導入する研究する
导弹	ミサイル
将MEM	MEM
将MEM媒体	MEM媒体
小	小さい
小丘疹	小さい丘疹
小丘疹合并	小さい丘疹合併
小丘疹合并轻微	小さい丘疹合併軽微だ
小了Pd	小さいPd
小囊肿	小さい嚢胞
小精度	小さい精度
小经济	小さい経済
小经济开发	小さい経済開発
少	少い	少ない
少凝聚	少ない凝集
少负担	少ない負担
尺寸	サイズ
尺寸可变	サイズ可変だ
尺度	スケール
尺度评价	スケール評
尺度评分	スケール評点
尽管	/m
局	局
局部	局地	局所	局部
局部不变	局所不変だ
局部不变特征	局所不変だ特徴	局所不変だ特徴量
局部不变特征量提取	局所不変だ特徴量抽出
局部聚类梯度	局所クラスター勾配
局部集群	局所クラスター
局面	局面
层	層
层模型	層モデル
层电阻	層抵抗
居民	おける住民	住民
展开	展開
展开经济	展開経済
展望	展望
属	属
属于	属す
属反复	属反復
属反复基因	属反復遺伝子
履历	履歴
山岳	山岳
岳	岳
岳西	岳西
岳西县	岳西県
峰值	ピーク
峰值分析	ピーク解析
峰值分析法	ピーク解析法
峰值拟合	ピークフィッティング
峰值拟合法	ピークフィッティング法
峰值电流	ピーク電流
峰值部分	ピーク部分
嵌入	込む
嵌入式微	組む込むマイクロ
嵌入式微型	込むマイクロ
嵌入式微处理器	組む込むマイクロプロセッサ	込むマイクロプロセッサ
工业	工業
工作	する仕事	仕事	作動
工作的	仕事する	作動する
工具	ツール
工程	エンジニアリング	工学
工程设计	エンジニアリングデザイン
工程问题	エンジニアリング問題
左	左
左颈部	左頚部
巨大潜在	巨大だ潜在
巨大潜在相关	関する巨大だ潜在
巨大的	巨大だ
差分	差分
差分公式	差分式
差别	差別
差异	差	差異	異なる
差速度	差速度
巴德索登	バート
市	市
市场	マーケット	市場
市场容量	市場容量
市立	市立
市立大学	市立大学
希望	有望だ	望ましい
希望生物	望ましい生物
希望用途	有望だ用途
帝王	帝王
帝王切开	帝王切開
带	つきる	ストリップ	バンド	帯
带宽	帯域幅
带宽多通道	帯域マルチチャネル
带宽多通道雷达系统	帯域マルチチャネルレーダシステム
带来	もたらさ
带状	ベルト状
带状特性	ベルト状特性
带线路	ストリップ線路
带线路束流位置	ストリップ線路ビーム位置
带线路束流位置监测	ストリップ線路ビーム位置モニタ
带线路梁	ストリップ線路ビーム
常	常
常微分	常微分
常微分方程	常微分方程式
常搔	常に掻く
常数	定数
常见的	よく見る
常调谐的	よく同調する
常贯通	常貫通
常贯通过程	常貫通過程
常速率	常レート
常速率方程	常レート方程式
常飞跃	常に飛躍
幅度	幅
幅度调制	幅変調
干	干る
干扰	干渉	干渉する
干扰加	干渉プラス
干扰加噪声	干渉プラスノイズ
干扰加噪声比率	干渉プラスノイズ比率
干扰加噪声比率损失	干渉プラスノイズ比率損失
干扰气溶胶	干渉エアロゾル
干扰流动	干渉流動
干扰流场	干渉流動場
干扰烟幕	干渉する煙幕
干扰素	インターフェロン	フェロン	IFN
干扰素络合物生成	フェロン錯体生成だ
干扰素配合物	フェロン錯体
干扰翼	干渉翼
干葡萄	干るブドウ
平	平
平台	プラットフォーム
平均	平均
平均COD去除	平均COD除去
平均COD的	平均COD
平均值	平均値
平均粒	平均粒
平均粒度	平均粒度
平坦	平らだ
平坦DNA交叉	平らだDNAクロス
平坦DNA交叉杂交	平らだDNAクロスハイブリダイゼーション
平坦的DNA	平らだDNA
平滑部分	スムーズだ部分
平膜	平膜
平行	平行
平行的	平行する
平行计算	平行するコンピューティング
平衡	平衡
平衡解	平衡解
平面	平面
平面矩阵	面マトリックス
平面翼	平面翼
年龄	する年齢	年齢
并且相当	さらにかなり
并发症	合併症
并用	併用
并用过程	併用プロセス
幼体	幼生
幼虫	幼虫
幼虫头部	幼生頭部
幼虫饲养	飼育する幼生
幽门	幽門
幽门保存	幽門温存
幽门保存插入	幽門温存挿入
广周波	広い周波
广泛	広い
广泛景观	広い景観
广泛景观格局	広い景観パターン
广阔	広	広い
序	序
序列	シーケンス
序列分析	シーケンス分析	配列分析	配列解析	配列解析する
序列系统	シーケンス系統
序列试验	配列試験
序列进化树	シーケンス系統樹
应变	ひずむ
应用	応用	応用さ	応用可能だ
应用值	適用する値
应用程序	適用プロセス
应答	応答
底	アンダー
底剪切	アンダーカッティング
底流	底流
底流层	底流層
废	よる廃	廃
废水	よる廃水	廃水
度	度
度尺度	度スケール
座	座
廉价	安価だ
延伸	延伸
延伸状态	延伸状態
延伸状态调子	延伸状態調子
延伸的	延伸する
延伸长	より長い延伸
延迟	遅れる	遅延
延迟计算	遅延算定
建模	モデリング
建模复杂	モデリング複雑だ
建模复杂度	モデリング複雑だ度
建立	確立	確立する
建立基于	基づく確立	基づく確立する
建立新	つくる新規だ
