 "no comment"	无可奉告
Haidong prefecture, Qinghai	海东	海东地区
Haiduan or Haituan township in Taitung county 臺東縣|台东县[Tai2 dong1 xian4], southeast Taiwan	海端	海端乡
Haier	海尔
Haifa	海法
Haifeng county in Shanwei 汕尾, Guangdong	海丰	海丰县
Haikang former county in Zhanjiang 湛江[Zhan4 jiang1], Guangdong	海康
Haikou prefecture-level city and capital of Hainan Province 海南省[Hai3 nan2 Sheng3]	海口	海口市
Hail Mary	万福玛丽亚
Hailar district, Mongolian Xailar raion, of Hulunbuir city 呼倫貝爾市|呼伦贝尔市[Hu1 lun2 bei4 er3 shi4], Inner Mongolia	海拉尔	海拉尔区
Hailin county level city in Mudanjiang 牡丹江, Heilongjiang	海林	海林市
Hailing district of Taizhou city 泰州市[Tai4 zhou1 shi4], Jiangsu	海陵	海陵区
Hailun county level city in Suihua 綏化|绥化, Heilongjiang	海伦	海伦市
Haimen county level city in Nantong 南通[Nan2 tong1], Jiangsu	海门	海门市
Hainan Airlines	海航
Hainan District of Wuhait City 烏海市|乌海市[Wu1 hai3 Shi4], Inner Mongolia	海南区
Hainan Island in South China Sea	海南岛
Hainan Province, in South China Sea, abbr. 瓊|琼[Qiong2], capital Haikou 海口	海南省
Hainan Province, in the South China Sea, short name 瓊|琼[Qiong2], capital Haikou 海口	海南
Hainan Tibetan autonomous prefecture , Qinghai	海南藏族自治州
Hainan University	海南大学
Hainan hopea	坡垒
Haining county level city in Jiaxing 嘉興|嘉兴[Jia1 xing1], Zhejiang	海宁	海宁市
Hairui township in Taitung county 臺東縣|台东县[Tai2 dong1 xian4], southeast Taiwan	海瑞	海瑞乡
Haishu district of Ningbo city 寧波市|宁波市[Ning2 bo1 shi4], Zhejiang	海曙	海曙区
Haiti, the western third of Caribbean island Hispaniola	海地
Haixi Mongol and Tibetan autonomous prefecture  in Qinghai	海西	海西州	海西蒙古族藏族自治州
Haixing county in Cangzhou 滄州|沧州[Cang1 zhou1], Hebei	海兴	海兴县
Haiyan county in Haibei Tibetan autonomous prefecture 海北藏族自治州[Hai3 bei3 Zang4 zu2 zi4 zhi4 zhou1], Qinghai	海晏	海晏县
Haiyan county in Jiaxing 嘉興|嘉兴[Jia1 xing1], Zhejiang	海盐	海盐县
Haiyang county level city in Yantai 煙台|烟台, Shandong	海阳	海阳市
Haiyuan county in Zhongwei 中衛|中卫[Zhong1 wei4], Ningxia	海原	海原县
Haizhou district of Lianyungang city 連雲港市|连云港市[Lian2 yun2 gang3 shi4], Jiangsu	海州	海州区
Haizhu district of Guangzhou city 廣州市|广州市[Guang3 zhou1 shi4], Guangdong	海珠	海珠区
Hajdú-Bihar county in east Hungary on the border with Romania, capital Debrecen 德布勒森	豪伊杜·比豪尔州
Hajdú-Bihar province of east Hungary on the border with Romania	豪伊杜·比豪尔
Hakka	客家语
Hakka dialect	客家话	客语
Hakka ethnic group	客家
Hakka people	客家人
Hakodate, main port of south Hokkaidō 北海道[Bei3 hai3 dao4], Japan	函馆
Hakone, city on the east coast of Japan southwest of Tokyo	箱根
Halden	哈尔登
Halifax	哈利法克斯
Haliotis gigantea	鳆
Hall	霍尔
Hall of Great Strength, main hall of a Buddhist temple contain the main image of veneration 大雄[da4 xiong2]	大雄宝殿
Hallasan Mountain or Mount Halla, high mountain in South Korea	汉拿山
Halle Berry , US actor	哈莉·贝瑞	荷莉·贝瑞
Halley's Comet	哈雷彗星
Halliburton	哈利伯顿
Halosols	盐成土
Hamada	滨田
Hamamatsu, city in Shizuoka prefecture 靜岡縣|静冈县[Jing4 gang1 xian4], Japan	滨松	滨松市
Hamar	哈马尔
Hamas	哈马斯
Hamburg	汉堡
Hamgyeongdo Province of Joseon Korea, now divide into North Hamgyeong Province 咸鏡北道|咸镜北道[Xian2 jing4 bei3 dao4] and South Hamgyeong Province 咸鏡南道|咸镜南道[Xian2 jing4 nan2 dao4] of North Korea	咸镜	咸镜道
Hamhung, North Korea	咸兴	咸兴市
Hami melon	哈密瓜	哈蜜瓜
Hamid Karzai , Afghan politician, president from 2004-2014	卡尔扎伊
Hamilcar , Carthaginian statesman and general	哈米尔卡
Hamilton	汉密尔顿
Hamito-Semitic family of language	闪含语系
Hamlet	哈姆雷特
Hammond	哈蒙德
Han Aijing , notorious red guard leader during Cultural Revolution, spend 15 year in prison for imprison and torture political leader	韩爱晶
Han Bangqing , writer and publisher of experimental literary journal in classical Chinese and Jiangsu vernacular, author of novel 海上花列傳|海上花列传	韩邦庆
Han Chinese person or people	汉人
Han Dynasty	汉朝
Han Dynasty term for the Roman Empire 羅馬帝國|罗马帝国[Luo2 ma3 Di4 guo2]	大秦
Han Fei, also know as Han Feizi 韓非子|韩非子[Han2 Fei1 zi3]	韩非
Han Feizi, book of Legalist Philosophy authored by Han Fei 韓非|韩非[Han2 Fei1] during the Warring States Period	韩非子
Han Fuju  army general and governor of Shandong, execute by Chiang Kai-shek 蔣介石|蒋介石[Jiang3 Jie4 shi2] aft he abandon Ji'nan to the Japanese	韩复榘
Han Han , PRC blogger, singer and professional rally driver	韩寒
Han River	汉水	汉江
Han Seung Soo , South Korean diplomat and politician, prime minister from 2008	韩升洙
Han Shichang , actor specialize in Kunqu opera 昆曲	韩世昌
Han Suyin , Eurasian physician and author	韩素音
Han Xin , famous general of first Han emperor Liu Bang 劉邦|刘邦[Liu2 Bang1]	韩信
Han Yanzhi , Song dynasty botanist, author of classification of orange tree 橘錄|橘录[ju2 lu4]	韩彦直
Han Yu , Tang dynasty essayist and poet, advocate of the classical write 古文運動|古文运动 and neoclassical 復古|复古 movement	韩愈
Han Zheng	韩正
Han dynasty	两汉
Han dynasty name for country in far West	犁靬
Han dynasty province around the Bohai sea	勃海
Han dynasty province in Vietnam	日南郡
Han ethnic group	汉	汉族	汉民族
Han of the Five dynasty	北汉
Han surname	汉姓
Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄	韩
Hanbin District of Ankang City 安康市[An1 kang1 Shi4], Shaanxi	汉滨	汉滨区
Hancheng city and county in Shaanxi	韩城
Hancheng city in Shaanxi	韩城市
Hancheng county in Shaanxi	韩城县
Hanchuan county level city in Xiaogan 孝感[Xiao4 gan3], Hubei	汉川	汉川市
Handan county	邯郸地区
Handan county in Handan 邯鄲|邯郸[Han2 dan1], Hebei	邯郸县
Handan prefecture level city in Hebei	邯郸	邯郸市
Handel	亨德尔	韩德尔
Haneda airport, Tokyo	羽田
Hang Hau	坑口
Hang Seng	恒生
Hang Seng Bank, Hong Kong	恒生银行
Hang Seng China affiliate index	恒生中资企业指数
Hang Seng index	恒生指数
Hanggin Rear banner or Xanggin Xoit khoshuu in Bayan Nur 巴彥淖爾|巴彦淖尔[Ba1 yan4 nao4 er3], Inner Mongolia	杭锦后旗
Hanggin banner, Mongolian Xanggin khoshuu, in Ordos prefecture 鄂爾多斯|鄂尔多斯[E4 er3 duo1 si1], Inner Mongolia	杭锦	杭锦旗
Hangu Pass in modern day Henan Province, strategic pass form the eastern gate of the Qin State during the Warring States Period	函谷关
Hangu former district of Tianjin, now part of Binhai subprovincial district 濱海新區|滨海新区[Bin1 hai3 xin1 qu1]	汉沽	汉沽区
Hangzhou Bay	杭州湾
Hangzhou subprovincial city and capital of Zhejiang province in southeast China	杭州	杭州市
Hani ethnic group	哈尼族
Hanjiang district of Putian city 莆田市[Pu2 tian2 shi4], Fujian	涵江	涵江区
Hanjiang district of Yangzhou city 揚州市|扬州市[Yang2 zhou1 shi4], Jiangsu	邗江	邗江区
Hankou, part of Wuhan 武漢|武汉 at the junction of Han river and Changjiang in Hubei	汉口
Hanlu or Cold Dew, 17th of the 24 solar term 二十四節氣|二十四节气 8th-22nd October	寒露
Hannan district of Wuhan city 武漢市|武汉市[Wu3 han4 shi4], Hubei	汉南	汉南区
Hannibal	汉尼拔
Hanoi, capital of Vietnam	河内
Hanover	汉诺威
Hans	汉斯
Hans Asperger , Austrian paediatrician	阿斯佩尔格尔
Hans Christian Andersen	安徒生
Hanseatic League	汉萨同盟
Hansen or Hanson	汉森
Hanseong Metropolitan City, old name for Seoul, capital of Korea	汉城特别市
Hanseong, old name of Seoul as traditional capital of Korea and capital of South Korea	汉城
Hanshan Normal University, Shantou, Guangdong	韩山师范学院
Hanshan county in Chaohu 巢湖[Chao2 hu2], Anhui	含山	含山县
Hanshan district of Handan city 邯鄲市|邯郸市[Han2 dan1 shi4], Hebei	邯山	邯山区
Hanshou county in Changde 常德[Chang2 de2], Hunan	汉寿	汉寿县
Hantai District of Hanzhong City 漢中市|汉中市[Han4 zhong1 Shi4], Shaanxi	汉台
Hantai District of Hanzhong City 漢中市|汉中市[Han4 zhong1 shi4], Shaanxi	汉台区
Hantavirus  responsible for haemorrhagic fever with renal syndrome or cardiopulmonary syndrome	汉他病毒	汉坦病毒
Hanting district of Weifang city 濰坊市|潍坊市[Wei2 fang1 shi4], Shandong	寒亭	寒亭区
Hanukkah	光明节	哈努卡	哈努卡节
Hanuman, a monkey God in the Indian epic Ramayana	哈奴曼
Hanwang town in Mianzhu county, Deying 德阳 prefecture, Sichuan	汉旺镇
Hanya	韩亚
Hanyang county in Hubei province	汉阳
Hanyang district of Wuhan city 武漢市|武汉市[Wu3 han4 shi4], Hubei	汉阳区
Hanyin County in Ankang 安康[An1 kang1], Shaanxi	汉阴	汉阴县
Hanyu Da Cidian, the most comprehensive Chinese dictionary with over 375,000 word entries, first publish between 1986-1994	汉语大词典
Hanyu Da Zidian, one of the most comprehensive Chinese character dictionary with 54,678  entries, first publish between 1986-1990	汉语大字典
Hanyu Pinyin, the pinyin transliteration system use in PRC since the 1960s	汉语拼音
Hanyuan county in Ya'an 雅安[Ya3 an1], Sichuan	汉源	汉源县
Hanzhong prefecture level city in Shaanxi	汉中	汉中市
Hanzhong prefecture, Shaanxi	汉中地区
Hao Haidong , former Chinese soccer player	郝海东
Haojiang district of Shantou city 汕头市, Guangdong	濠江	濠江区
Haojing , capital of Western Zhou from c. 1050 BC	镐京
Happy Camp	快乐大本营
Happy New Year	恭贺新禧
Happy New Year!	新年快乐	新年进步	新禧
Happy Valley	跑马地
Happy birthday	生日快乐
Happy sheep , mascot of 2010 Guangzhou Asian game 廣州亞運會|广州亚运会	乐羊羊
Hapsburg	哈布斯堡
Hara	原
Harada	原田
Harald V of Norway	哈拉尔五世
Harare, capital of Zimbabwe	哈拉雷
Harbin Institute of Technology	哈尔滨工业大学
Harbin, subprovincial city and capital of Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1] in northeast China	哈尔滨	哈尔滨市
Hardy or Hardie	哈迪
Harlem district of Manhattan	哈莱姆
Harlingen, the Netherlands	哈灵根
Harold, Harald, Harrod	哈罗德
Harper	哈珀
Harqin	喀喇沁
Harqin Left Mongol autonomous county in Chaoyang 朝陽|朝阳, Liaoning	喀喇沁左翼蒙古族自治县
Harqin banner or Kharchin khoshuu in Chifeng 赤峰[Chi4 feng1], Inner Mongolia	喀喇沁旗
Harrisburg, Pennsylvania	哈里斯堡
Harrison Schmitt	哈里森·施密特
Harry	哈利
Harry Potter fan	哈迷
Harry Potter, boy wizard in the novel by J.K. Rowling 羅琳|罗琳	哈利·波特
Harry or Hari	哈里
Harstad	哈尔斯塔
Hart or Herd	赫德
Hartford	哈特福德
Harvard	哈佛
Harvard University	哈佛大学
Hasee	神舟电脑
Hasegawa	长谷川
Hash House Harriers	捷兔
Hashimoto	桥本
Hassan	哈桑
Hasselblad	哈苏
Hatoyama Yukio , Japanese Democratic Party politician, prime minister 2009-2010	鸠山由纪夫
Hatoyama, Japanese name and place name	鸠山
Haugesund	海于格松
Havana, capital of Cuba	哈瓦那
Have a nice weekend!	周末愉快
Hawai, US state	夏威夷州
Hawaii Volcanoes National Park	夏威夷火山国家公园
Hawaii island	夏威夷岛
Hawaii, US state	夏威夷
Hawkins	霍金斯
Hawkins or Hawking	霍金
Hayden or Haydn	海登
Haydn	海顿
Hayes	海斯
Hazeline, Unilever range of skin care product	夏士莲
He Chao , Tang dynasty poet	贺朝
He Houhua , Macau financier and politician, first magistrate from 1999	何厚铧
He Long , important communist military leader, die from persecution during the Cultural Revolution	贺龙
He Yingqin , senior Guomindang general	何应钦
He Zhizhang , Tang dynasty poet	贺知章
He Zizhen , Mao Zedong's third wife	贺子珍
He county in Chaohu 巢湖[Chao2 hu2], Anhui	和县
He county in Guangxi	贺县
He laugh good who laugh last.	谁笑到最后,谁笑得最好	谁笑在最后,谁笑得最好
He river in Shandong	菏
He who come be surely ill-intentioned, no-one well-meaning will come .	来者不善,善者不来
He who give no think to far-flung problem soon find suffer nearby .	人无远虑,必有近忧
He who never wrong other do not fear the knock in the night.	不做亏心事,不怕鬼敲门	平生不做亏心事,半夜敲门心不惊
He'nan Mengguzu autonomous county in Qinghai	河南县	河南蒙古族自治县
Healing sutra	药师经
Heath	希斯
Heath Ledger, Australian actor	希斯·莱杰
Heathrow	希思罗
Heathrow Airport	希斯罗机场
Heaven	上天
Heaven Sword and Dragon Saber, wuxia  novel by Jin Yong 金庸[Jin1 Yong1] and its screen adaptation	倚天屠龙记
Heaven and earth	乾坤
Heaven can tolerate this	天理难容
Heaven help the worthy	吉人自有天相
Heaven knows!	天晓得
Heaven never bar one way ; do despair and you will find a way through.	天无绝人之路
Heaven reward the diligent.	天道酬勤
Heaven will not disappoint the person who try . If you try hard, you bind to succeed eventually.	皇天不负苦心人
Heaven's law	天理
Heavenly Father	天父
Heavenly province	天府
Heavens!	天呀
Hebei Daily, www.hebeidaily.com.cn	河北日报
Hebei Province  in north China surround Beijing, short name 冀[Ji4], capital Shijiazhuang 石家莊|石家庄[Shi2 jia1 zhuang1]	河北省
Hebei University of Science and Technology	河北科技大学
Hebei University of Technology	河北工业大学
Hebei district of Tianjin municipality 天津市[Tian1 jin1 shi4]	南开区	河北区
Hebei opera	河北梆子
Hebei province  in north China surround Beijing, short name 冀, capital Shijiazhuang 石家莊|石家庄[Shi2 jia1 zhuang1]	河北
Hebi prefecture level city in Henan	鹤壁	鹤壁市
Hebrew	希伯来	希伯莱
Hebrew language	希伯来语	希伯莱文	希伯莱语
Hebrew person	希伯来人
Hecheng district of Huaihua city 懷化市|怀化市[Huai2 hua4 shi4], Hunan	鹤城	鹤城区
Hechi prefecture in Guangxi	河池地区
Hechi prefecture level city in Guangxi	河池	河池市
Hechuan suburban district of Chongqing municipality, formerly in Sichuan	合川	合川区
Hector	埃克托
Hector Berlioz , French romantic composer, author of Symphonie Fantastique	埃克托·柏辽兹	柏辽兹
Hedong district of Linyi city 臨沂市|临沂市[Lin2 yi2 shi4], Shandong	河东
Hedong district of Tianjin municipality 天津市[Tian1 jin1 shi4]	河东区
Hedyotis diffusa	白花蛇舌草
Hefei University of Technology	合肥工业大学
Hefei, capital of Anhui Province 安徽省[An1 hui1 Sheng3] in south central China	合肥	合肥市
Hefeng county in Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州[En1 shi1 Tu3 jia1 zu2 Miao2 zu2 zi4 zhi4 zhou1], Hubei	鹤峰	鹤峰县
Hegang prefecture level city in Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1] in northeast China	鹤岗	鹤岗市
Hei Hu Quan - "Black Tiger Fist" - Martial Art	黑虎拳
Heian Jingū or Heian Shrine, in Kyōto, Japan	平安神宫
Heian period , period of Japanese history	平安时代
Heidelberg	海德保	海德堡	海德尔堡
Heidi	海迪
Heihe prefecture level city in Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1] in northeast China	黑河	黑河市
Heihe prefecture, Heilongjiang	黑河地区
Heilongjiang Province  in northeast China, abbr. 黑, capital Harbin 哈爾濱|哈尔滨[Ha1 er3 bin1]	黑龙江省
Heilongjiang River	黑龙江河
Heilongjiang province  in northeast China, abbr. 黑, capital Harbin 哈尔滨	黑龙江
Heineken	喜力	海尼根
Heinrich Heine , German lyric poet	海涅
Heinz	亨氏
Heisei, reign name of Japanese Emperor Akihito, from 1989	平成
Heisenberg's uncertainty principle	不确定性原理
Heishan county in Jinzhou 錦州|锦州, Liaoning	黑山县
Heishui county  in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[A1 ba4 Zang4 zu2 Qiang1 zu2 zi4 zhi4 zhou1], northwest Sichuan	黑水	黑水县
Hejian county level city in Cangzhou 滄州|沧州[Cang1 zhou1], Hebei	河间市
Hejiang county in Luzhou 瀘州|泸州[Lu2 zhou1], Sichuan	合江	合江县
Hejin county level city in Yuncheng 運城|运城[Yun4 cheng2], Shanxi	河津	河津市
Hekou Yaozu autonomous county in Honghe Hani and Yi autonomous prefecture 紅河哈尼族彞族自治州|红河哈尼族彝族自治州[Hong2 he2 Ha1 ni2 zu2 Yi2 zu2 Zi4 zhi4 zhou1], Yunnan	河口瑶族自治县
Hekou district of Dongying city 東營市|东营市[Dong1 ying2 shi4], Shandong	河口区
Helan Mountains, lie across part of the border between Ningxia and Inner Mongolia	贺兰山	贺兰山脉
Helan county in Yinchuan 銀川|银川[Yin2 chuan1], Ningxia	贺兰	贺兰县
Hele crab	和乐蟹
Helen Keller	海伦·凯勒
Heleocharis plantaginea	葧
Helicobacter pylorus	幽门螺旋杆菌	幽门螺旋菌	幽门螺杆菌
Hello Kitty	凯蒂猫
Hello!	你好
Helmand	赫尔曼德
Helmut	赫尔穆特
Helmut Kohl , German CDU politician, Chancellor 1982-1998	赫尔穆特·科尔
Helong county level city in Yanbian Korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州, Jilin	和龙	和龙市
Help others, and other may help you .	与人方便,自己方便
Helsinki , capital of Finland	赫尔辛基
Hemerocallis fulva	萱草
Hemidactylus bowringii	蝘
Hemiptera	半翅目
Hemudu neolithic archaeological site near Ningbo in Zhejiang, go back to c. 5000 BC	河姆渡
Hemudu neolithic archaeological site near Ningbo 長江|长江 in Zhejiang, go back to c. 5000 BC	河姆渡遗址
Henan opera	豫剧
Henan province  in central China, abbr. 豫, capital Zhengzhou 鄭州|郑州[Zheng4 zhou1]	河南
Henan province  in central China, abbr. 豫[Yu4], capital Zhengzhou 鄭州|郑州[Zheng4 zhou1]	河南省
Heng county in Nanning 南寧|南宁[Nan2 ning2], Guangxi	横县
Hengchun Peninsula in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], the southernmost point of Taiwan	恒春半岛
Hengchun town in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan	恒春	恒春镇
Hengdong county in Hengyang 衡陽|衡阳[Heng2 yang2], Hunan	衡东	衡东县
Hengduan mountain divide Sichuan from Tibet	横段山脉
Hengduan mountains, several parallel mountain range on the border between west Yunnan and Sichuan and east Tibet	横断山脉
Hengelo, city in the Netherlands	亨格洛
Hengfeng county in Shangrao 上饒|上饶, Jiangxi	横峰	横峰县
Hengnan county in Hengyang 衡陽|衡阳[Heng2 yang2], Hunan	衡南	衡南县
Hengshan County in Yulin 榆林[Yu2 lin2], Shaanxi	横山	横山县
Hengshan District of Jixi city 雞西|鸡西[Ji1 xi1], Heilongjiang	恒山区
Hengshan county in Hengyang 衡陽|衡阳[Heng2 yang2], Hunan	衡山县
Hengshan township in Hsinchu County 新竹縣|新竹县[Xin1 zhu2 Xian4], northwest Taiwan	横山乡
Hengshui county	衡水地区
Hengshui prefecture level city in Hebei	衡水	衡水市
Hengyang county in Hengyang 衡陽|衡阳[Heng2 yang2], Hunan	衡阳县
Hengyang prefecture in Hunan	衡阳地区
Hengyang prefecture level city in Hunan	衡阳	衡阳市
Hennessy	轩尼诗
Henri	昂利
Henri Poincaré , French mathematician, physician and philosopher	庞加莱
Henrik Ibsen , Norwegian dramatist, author of Doll's House 玩偶之家	易卜生
Henry	亨利
Henry Hudson , English explorer and navigator	亨利·哈德逊
Henry Kissinger , US academic and politician, Secretary of State 1973-1977	基辛格
Henry V , English warrior king, victor of Agincourt	亨利五世
Henry Ying-tung Fok , Hong Kong tycoon with close PRC connection	霍英东
Hepburn	赫本
Heping county in Heyuan 河源[He2 yuan2], Guangdong	和平县
Heping district of Shenyang city 沈陽市|沈阳市, Liaoning	和平
Heping or Peace district	和平区
Hepingli neighbourhood of Beijing	和平里
Hepu county in Beihai 北海[Bei3 hai3], Guangxi	合浦县
Heqing county in Dali Bai autonomous prefecture 大理白族自治州[Da4 li3 Bai2 zu2 zi4 zhi4 zhou1], Yunnan	鹤庆	鹤庆县
Hequ county in Xinzhou 忻州[Xin1 zhou1], Shanxi	河曲	河曲县
Hera	赫拉
Heraclitus , pre-Socratic philosopher	赫拉克利特
Herat	赫拉特
Herat province of Afghanistan	赫拉特省
Herbert	赫伯特
Herbert Allen Giles , British diplomat and linguist, contributor to the Wade-Giles Chinese romanization system	翟理斯
Herbstosaurus	赫伯斯翼龙
Hercules	武仙座
Here we go again.	又来了
Hericium erinaceus	猴头菇
Herman Melville , US novelist, author of Moby Dick 白鯨|白鲸[bai2 jing1]	赫曼·麦尔维尔
Herman or Hermann	赫尔曼
Hermes	赫尔墨斯
Hermes, in Greek mythology, messenger of the God	赫耳墨斯
Hermès	爱马仕
Hernández	埃尔南德斯
Herod	黑落德
Herodium	希罗底
Herpestidae	獴科
Hershey's	好时
Hertfordshire	赫福特郡
Hertz	赫兹
Herzegovina	赫塞哥维纳	黑塞哥维那
Heshan county level city in Jiangmen 江門|江门, Guangdong	鹤山市
Heshan county level city in Laibin 來賓|来宾[Lai2 bin1], Guangxi	合山	合山市
Heshan district of Hebi city 鶴壁市|鹤壁市[He4 bi4 shi4], Henan	鹤山	鹤山区
Heshan district of Yiyang city 益陽市|益阳市[Yi4 yang2 shi4], Hunan	赫山	赫山区
Heshen , Manchu official of the Qing Dynasty who openly practice various form of corruption on a grand scale	和珅
Heshui county in Qingyang 慶陽|庆阳[Qing4 yang2], Gansu	合水	合水县
Heshun county in Jinzhong 晉中|晋中[Jin4 zhong1], Shanxi	和顺	和顺县
Hestia, goddess of the hearth in Greek mythology, daughter of Chronos and Rhea	赫斯提亚
Hetang district of Zhuzhou city 株洲市, Hunan	荷塘区
Hetu Ala , Nurhaci's capital at the 1619 Battle of Sarhu	赫图阿拉
Hewitt	休伊特
Hewlett-Packard	惠普	惠普公司
Hexi Corridor , a string of oasis run the length of Gansu, form part of the Northern Silk Road	河西走廊
Hexi district of Tianjin municipality 天津市[Tian1 jin1 shi4]	河西区
Hexigten banner or Kesigüten khoshuu in Chifeng 赤峰[Chi4 feng1], Inner Mongolia	克什克腾	克什克腾旗
Hexipu town in Yongchang county 永昌縣|永昌县[Yong3 chang1 xian4], Jinchang 金昌[Jin1 chang1], Gansu	河西堡	河西堡镇
Heyang County in Weinan 渭南[Wei4 nan2], Shaanxi	合阳	合阳县
Heyuan prefecture level city in Guangdong	河源
Heyuan prefecture level city in Guangdong 廣東省|广东省[Guang3 dong1 sheng3]	河源市
Hezbollah	真主党
Heze prefecture level city in Shandong	菏泽	菏泽市
Heze temple in Fuzhou, Fujian	荷泽寺
Hezekiah or Ezekias	希西家
Hezhang county in Bijie prefecture 畢節地區|毕节地区[Bi4 jie2 di4 qu1], Guizhou	赫章	赫章县
Hezhen ethnic group of Heilongjiang province	赫哲族
Hezhen language	赫哲语
Hezheng county in Linxia Hui autonomous prefecture 臨夏回族自治州|临夏回族自治州[Lin2 xia4 Hui2 zu2 zi4 zhi4 zhou1], Gansu	和政	和政县
Hezhou prefecture level city in Guangxi	贺州	贺州市
Hezron	希斯仑	赫兹龙
Hezuo county level city in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gan1 nan2 Zang4 zu2 zi4 zhi4 zhou1], Gansu	合作市
Hibiscus syriacus	槿	蕣
Hibiya Park in central Tokyo	日比谷公园
Hidetoshi Nakata	中田英寿
Higgs	希格斯
Higgs boson	希格斯玻色子
Higgs particle	希格斯粒子
High Court	高等法院
High Priest	大祭司
Highbury	海伯利
Hilbert's zero theorem	零点定理
Hill	希尔
Hill of Spring	春岑
Hillary	希拉蕊	希拉里
Hillary Rodham Clinton , US Democratic politician	希拉里·克林顿
Hilton	希尔顿
Hilversum, city in Netherlands	希尔弗瑟姆
Himalayas	喜马拉雅山	喜马拉雅山脉
Himeji city in Hyōgo prefecture 兵庫縣|兵库县, Japan	姫路市	姬路市
Himeji-jō, castle complex in Himeji, Hyōgo prefecture 兵庫縣|兵库县, Japan	姬路城
Hinayana, the Lesser Vehicle	小乘
Hindi	北印度语	印地语
Hindu	印度教徒
Hinduism	印度教
Hindustan	印度斯坦
Hinggan league, a prefecture level subdivision of Inner Mongolia	兴安盟
Hippocrates , Greek physician, father of Western medicine	希波克拉底
Hirano	平野
Hirohito	裕仁
Hiroshima prefecture, Japan	广岛县
Hiroshima, Japan	广岛
Hirundinidae	燕科
Hisense	海信
Hispaniola	伊斯帕尼奥拉	海地岛
Histoplasma capsulatum	荚膜组织胞浆菌
Historical name for Portugal during the Qing dynasty	大西洋国
History of Chen of the Southern Dynasties, ninth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile by Yao Silian 姚思廉[Yao2 Si1 lian2] in 636 during Tang dynasty, 36 scroll	陈书
History of Eastern Han , third of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compose by Fan Ye 範曄|范晔[Fan4 Ye4] in 445 during Song of the Southern Dynasties 南朝宋[Nan2 chao2 Song4], 120 scroll	后汉书
History of Kingdom Lu	鲁史
History of Later Han dynasty, internal palace record by many 1st and 2nd century authors, 143 scroll	东观汉记
History of Liang of the Southern Dynasties, eighth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile by Yao Silian 姚思廉[Yao2 Si1 lian2] in 636 during Tang dynasty, 56 scroll	梁书
History of Qi of the Northern Dynasties, eleventh of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile by Li Baiyao 李百藥|李百药[Li3 Bai3 yao4] in 636 during Tang Dynasty, 50 scroll	北齐书
History of Qi of the Southern Dynasties, seventh of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile by Xiao Zixian 蕭子顯|萧子显[Xiao1 Zi3 xian3] in 537 during Liang of the Southern Dynasties 南朝梁[Nan2 chao2 Liang2], 59 scroll	南齐书	齐书
History of Song of the Southern Dynasties 南朝宋[Nan2 chao2 Song4] or Liu Song 劉宋|刘宋[Liu2 Song4], sixth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile by Shen Yue 沈約|沈约[Shen2 Yue4] in 488 during Liang of the Southern Dynasties 南朝梁[Nan2 chao2 Liang2], 100 scroll	宋书
History of Ten States of South China  by Wu Renchen 吳任臣|吴任臣, 77 scroll	十国春秋
History of Three Kingdoms , the old extant Korean history, compile under Kim Busik 金富軾|金富轼[Jin1 Fu4 shi4] in 1145. The three kingdom be Goguryeo 高句麗|高句丽[Gao1 gou1 li2], Baekje 百濟|百济[Bai3 ji4], Silla 新羅|新罗[Xin1 luo2].	三国史记
History of Wei of the Northern Dynasties, tenth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile by Wei Shou 魏收[Wei4 Shou1] in 554 during Northern Qi Dynasty 北齊|北齐[Bei3 Qi2], 114 scroll	魏书
History of Zhou of the Northern Dynasties, twelfth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Linghu Defen 令狐德棻[Ling2 hu2 De2 fen1] in 636 during Tang Dynasty, 50 scroll	周书
History of the Early Tang Dynasty, sixteenth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Liu Xu 劉昫|刘昫[Liu2 Xu4] in 945 during Later Jin 後晉|后晋[Hou4 Jin4] of the Five Dynasties, 200 scroll	旧唐书
